e,n,d
110.624941911919,110.62497806359134,2434
110.86881028586242,110.86884651722971,2435
111.11297071661241,111.1130070277701,2436
111.35742331585783,111.35745970690141,2437
111.60216819547826,111.60220466650323,2438
111.8472054675436,111.8472420186455,2439
112.09253524431541,112.09257187558985,2440
112.33815763824691,112.3381943497895,2441
112.58407276198295,112.58410955388936,2442
112.83028072836035,112.83031760072629,2443
113.07678165040984,113.07681860333103,2444
113.32357564135346,113.32361267492567,2445
113.57066281460618,113.57069992892524,2446
113.81804328377721,113.81808047893897,2447
114.0657171626687,114.06575443876902,2448
114.31368456527761,114.31372192241244,2449
114.56194560579486,114.56198304406013,2450
114.81050039860554,114.81053791809727,2451
115.05934905828964,115.05938665910385,2452
115.30849169962295,115.3085293818557,2453
115.55792843757548,115.55796620132291,2454
115.80765938731534,115.80769723267359,2455
116.0576846642042,116.05772259126945,2456
116.30800438380118,116.30804239266963,2457
116.55861866186183,116.55865675262977,2458
116.80952761433983,116.80956578710355,2459
117.06073135738433,117.06076961224016,2460
117.31223000734417,117.3122683443885,2461
117.56402368076436,117.5640621000936,2462
117.81611249438893,117.81615099609951,2463
118.06849656516033,118.06853514934875,2464
118.32117601021969,118.32121467698248,2465
118.57415094690755,118.57418969634126,2466
118.82742149276443,118.82746032496568,2467
119.08098776552991,119.08102668059534,2468
119.3348498831439,119.33488888117019,2469
119.58900796374692,119.58904704483079,2470
119.84346212567891,119.84350128991711,2471
120.09821248748364,120.09825173497296,2472
120.35325916790426,120.35329849874155,2473
120.60860228588615,120.60864170016829,2474
120.86424196057571,120.8642814583996,2475
121.12017831132383,121.12021789278643,2476
121.37641145768232,121.37645112288062,2477
121.63294151940663,121.63298126843766,2478
121.88976861645536,121.88980844941618,2479
122.14689286899066,122.1469327859784,2480
122.40431439737922,122.40435439849101,2481
122.66203332219095,122.66207340752398,2482
122.92004976420185,122.92008993385335,2483
123.17836384439114,123.17840409845839,2484
123.43697568394518,123.43701602252546,2485
123.69588540425475,123.69592582744542,2486
123.95509312691587,123.95513363481432,2487
124.21459897373254,124.21463956643619,2488
124.47440306671427,124.47444374432058,2489
124.73450552807859,124.73454629068507,2490
124.99490648024789,124.99494732795209,2491
125.25560604585549,125.25564697875498,2492
125.51660434773983,125.51664536593226,2493
125.77790150894809,125.77794261253112,2494
126.03949765273836,126.03953884180969,2495
126.30139290257453,126.3014341772319,2496
126.56358738213208,126.56362874247328,2497
126.82608121529421,126.82612266141706,2498
127.088874526156,127.08891605815839,2499
127.35196743902095,127.35200905700077,2500
127.61536007840508,127.61540178246028,2501
127.87905256903372,127.87909435926228,2502
128.1430450358451,128.14308691234507,2503
128.4073376039871,128.40737956685652,2504
128.6719303988217,128.67197244815875,2505
128.9368235459213,128.9368656818241,2506
129.202017171073,129.20205939363973,2507
129.46751140027615,129.46755370960506,2508
129.73330635974233,129.73334875593167,2509
129.99940217589855,129.99944465904665,2510
130.26579897538468,130.26584154558995,2511
130.5324968850558,130.53253954241654,2512
130.79949603198193,130.7995387765967,2513
